time,ax,ay,az,wx,wy,wz
2026-03-11T13:55:58.853Z,0.0162,0.0101,-0.1261,-0.0012,-0.0039,0.0033
2026-03-11T13:55:58.860Z,0.0162,0.0101,-0.1261,-0.0021,-0.0056,0.0036
2026-03-11T13:55:58.870Z,0.0173,0.0163,-0.1398,-0.0006,-0.0057,0.0029
2026-03-11T13:55:58.880Z,0.0034,-0.0005,-0.1445,-0.0021,-0.0056,0.0032
2026-03-11T13:55:58.890Z,0.0104,0.0074,-0.1275,-0.0037,-0.0040,0.0033
2026-03-11T13:55:58.904Z,-0.0037,0.0105,-0.1128,-0.0030,-0.0024,0.0046
2026-03-11T13:55:58.910Z,-0.0037,0.0105,-0.1128,-0.0022,-0.0047,0.0023
2026-03-11T13:55:58.920Z,0.0109,0.0101,-0.1510,-0.0037,-0.0046,0.0047
2026-03-11T13:55:58.930Z,0.0260,0.0232,-0.1463,-0.0011,-0.0050,0.0043
2026-03-11T13:55:58.940Z,0.0259,0.0086,-0.1216,-0.0046,-0.0032,0.0036
2026-03-11T13:55:58.954Z,0.0084,0.0284,-0.1287,-0.0044,-0.0043,0.0047
2026-03-11T13:55:58.960Z,0.0084,0.0284,-0.1287,-0.0026,-0.0021,0.0039
2026-03-11T13:55:58.972Z,0.0133,0.0106,-0.0980,-0.0033,-0.0071,0.0036
2026-03-11T13:55:58.980Z,0.0133,0.0106,-0.0980,-0.0025,-0.0036,0.0032
2026-03-11T13:55:58.991Z,0.0146,0.0164,-0.0929,-0.0026,-0.0059,0.0026
2026-03-11T13:55:59.004Z,0.0168,0.0154,-0.1591,-0.0031,-0.0036,0.0020
2026-03-11T13:55:59.010Z,0.0168,0.0154,-0.1591,-0.0030,-0.0048,0.0039
2026-03-11T13:55:59.022Z,0.0075,0.0106,-0.1571,-0.0038,-0.0036,0.0045
2026-03-11T13:55:59.031Z,0.0148,0.0152,-0.1197,-0.0025,-0.0048,0.0035
2026-03-11T13:55:59.039Z,0.0148,0.0152,-0.1197,-0.0029,-0.0050,0.0035
2026-03-11T13:55:59.053Z,0.0173,-0.0031,-0.1396,-0.0036,-0.0049,0.0022
2026-03-11T13:55:59.061Z,0.0316,0.0191,-0.1091,-0.0051,-0.0011,0.0021
2026-03-11T13:55:59.071Z,0.0125,0.0193,-0.1426,-0.0014,-0.0057,0.0035
2026-03-11T13:55:59.081Z,0.0005,0.0068,-0.1507,-0.0022,-0.0036,0.0027
2026-03-11T13:55:59.091Z,0.0136,0.0072,-0.1167,-0.0023,-0.0045,0.0036
2026-03-11T13:55:59.108Z,0.0238,0.0090,-0.1185,-0.0020,-0.0030,0.0045
2026-03-11T13:55:59.109Z,0.0238,0.0090,-0.1185,-0.0018,-0.0046,0.0031
2026-03-11T13:55:59.121Z,0.0079,0.0100,-0.1305,-0.0010,-0.0044,0.0033
2026-03-11T13:55:59.131Z,0.0371,0.0132,-0.1302,-0.0020,-0.0038,0.0029
2026-03-11T13:55:59.140Z,0.0141,0.0103,-0.1451,-0.0035,-0.0060,0.0025
2026-03-11T13:55:59.152Z,0.0024,0.0151,-0.1372,-0.0036,-0.0043,0.0046
